issue_number,title,labels,Category,Sentiment,L1_Tag,L1_Category,L2_Tag,L2_Category,Confidence,Tagging_Notes
12745,[Feature Request] Improve Claude plan discovery with project-relative paths and descriptive naming,"enhancement, platform:macos, area:core",Feature Request,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
12741,[Bug] Smart quotes cause parsing errors in code input,"bug, has repro, platform:macos, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
12738,[Bug] Opus 4.5 missing from Claude Code model picker menu,"bug, has repro, platform:macos, area:tui, area:model",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
12735,[FEATURE] Image resize on paste,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12728,[Feature Request] MCP Tool Output Verbosity Control,"enhancement, area:tui, area:mcp",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12709,Centralize Redis Connection Management,,Bug,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
12705,[BUG] Unable to generate a AGPLv3 license due to content filtering policy,"bug, has repro, platform:macos, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
12685,[BUG] IntelliJ IDEA: OpenClaudeInTerminalAction blocks EDT thread (453ms),"bug, has repro, platform:windows, area:ide, perf:memory",Bug,Negative,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
12677,"[BUG] Don't render content that is not Markdown as Markdown (i.e. don't interpret `_`, `*`, etc. as Markdown tokens)","bug, has repro, platform:linux, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12674,Clean up plugin-validator.md by removing extra AI generated text,,Documentation,Positive,Other,Other,Other,Other,Low,Weak L1 match (score=1)
12673,[Bug] Anthropic API: Claude 3 Opus model performance degradation,"bug, platform:macos, area:model, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,No L2 match found
12666,[FEATURE] VSCode quick-access permission control switch,"enhancement, area:tui, area:security, area:ide",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12658,[BUG] HEREDOC git commit command fragment incorrectly captured in settings.local.json permissions,"bug, has repro, platform:linux, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
12656,[Bug] Phantom shell process counts against 5-hour daily limit after KillShell confirmation,"bug, duplicate, has repro, platform:macos, area:cost, area:tools",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
12641,[FEATURE] Lines in code diffs in VS Code extension,"enhancement, area:ide",Feature Request,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
12640,[Bug] Grep tool returns incomplete results,"bug, has repro, platform:linux, area:tools",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
12639,Add visual consistency guidance for characters/objects across scenes,"enhancement, has repro, area:model",Feature Request,Neutral,L1.7,Model & Reasoning,Other,Other,Low,No L2 match found
12632,[FEATURE] Collapsible plan preview in plan mode,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12626,[BUG] iterm2's claude code window auto input with \u001d,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12622,[FEATURE] /theme auto open submenu theme in config menu,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12619,[FEATURE] Allow setting plan directory and naming scheme per-repo,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12616,"[BUG] API Error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Could not process image""},""request_id"":""req_011CVaC1ZBLb4PLudLYZ6RZR""}","bug, duplicate, platform:macos, area:tools, area:api",Bug,Negative,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
12615,Gaming the system and cheating,"bug, external, area:tools",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
12608,[FEATURE] Allow Claude iPad app to be installed on Vision Pro,"enhancement, area:packaging",Feature Request,Positive,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
12599,[BUG] An Intolerably Slow System That Fails to Meet Even Minimal Usability Standards.,"bug, has repro, platform:windows, perf:memory",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
12596,[Bug] Text selection impossible during spinner animation in terminal,"bug, has repro, platform:linux, area:tui",Bug,Negative,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
12593,[BUG]  Add automatic paging for long command outputs,"bug, enhancement, has repro, platform:windows, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12588,[BUG] VSCode Extension: Task tool output opens as plaintext instead of rendered markdown,"bug, has repro, platform:macos, area:tools, area:ide",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
12584,[Feature Request] Add custom session naming with terminal integration support,"duplicate, enhancement, platform:macos, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
12581,[Bug] Claude Opus generates outdated YAML after dataset update,"bug, platform:macos, area:model",Bug,Neutral,L1.7,Model & Reasoning,Other,Other,Low,Weak L2 match (score=1)
12580,[BUG] www.anthropic.com is blocked from being retrieved when using the web search tool within Claude Code on home network with full access.,"bug, has repro, platform:windows, area:tools",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
12578,[BUG] cygpath calls on Windows seems to slown down agent a lot,"bug, platform:windows, perf:memory",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
12576,Feature Request: Shift+Enter for newlines in message input,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12575,[Bug] Claude 3.5 Opus context exhaustion without response in IDE integration,,Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
12574,[Feature Request] Add option to log thinking traces to file in --print mode,"enhancement, platform:linux, area:core",Feature Request,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
12571,[BUG] Statusline does not refresh after shell escape (!) commands,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12565,[FEATURE] Show conversation context length in status line or hook input,"enhancement, area:tui, area:api",Feature Request,Neutral,L1.2,API & Integration,Other,Other,Low,No L2 match found
12560,[FEATURE] ability to clear stale unsent / unacknowledged prompts,"enhancement, area:tui",Feature Request,Positive,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12559,[Bug] Memory file path display truncated by token count in /context output,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12554,[FEATURE] allow override of verbose claude with flag,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12553,[Bug] Claude responds in Russian despite English-only prompts,"bug, platform:macos, area:model",Bug,Neutral,L1.7,Model & Reasoning,Other,Other,Low,No L2 match found
12549,[BUG] Constant updates to CLAUDE.md,"bug, has repro, platform:linux, area:core, memory",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,Weak L2 match (score=1)
12535,[BUG] Claude Code in VSCode expects model deployments from Azure Foundry in lowercase,"bug, has repro, platform:windows, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
12528,[BUG] Korean IME input causes character decomposition after language switching,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
